id,text,category,categoryText,effect
44,"يجب على الدولة تشديد قوانين العمل على الوافدين وتسهيلها على المواطنين",nat_glob,قومي مقابل عالمي,-1
45,"يجب على الدولة السماح باللجوء لمواطني دول الجوار في حال حصول اضطرابات في بلادهم مستقبلاً",nat_glob,قومي مقابل عالمي,-0.5
46,"يجب على الدولة منع رفع أعلام القوميات والأحزاب المختلفة دون رفع علم البلاد معها في المسيرات والمظاهرات",nat_glob,قومي مقابل عالمي,-0.5
47,"يجب على الدولة السعي للدخول في تحالفات اقتصادية واجتماعية مع دول الجوار والحفاظ على التحالفات الموجودة مثل الجامعة العربية ومجلس التعاون الخليجي ومنظمات العالم الإسلامي",nat_glob,قومي مقابل عالمي,1
48,"يجب على الدولة تقديم ميزات للوافدين والمقيمين لتشجيعهم على البقاء في البلاد",nat_glob,قومي مقابل عالمي,1
49,"يجب على الدولة بناء جيش قويّ وتخصص له نسبة تزيد عن ربع ميزانية البلاد",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,-1
50,"على الجيش أن يعتمد على صناعة السلاح المحلية وتخصيص أكثر من ربع ميزانية البلاد لهذا",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,-1
51,"على الدولة أن تحصر تواجد الجيش على الحدود والقطعات العسكرية",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,-0.5
52,"على الدولة بناء جيش دفاعي فقط لا يعمل خارج حدودها مهما كانت الظروف",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,1
53,"على الدولة التعامل مع حالات انتهاك السيادة العسكرية من خلال مبدأ ""التسامح مرّة ثم الرد"" بدلاً من الرد العسكري المباشر",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,1
54,"لا يجب على الدولة السماح للقيادات العسكرية بالمشاركة السياسية حتى بعد خروجهم من المنظومة العسكرية",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,1
55,"يجب على الدولة الرد بحزم على كلّ انتهاكات السيادة من الدول الخارجية دون انتظار تبريرات الطرف المقابل او التحاور معه",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,-1
56,"يجب على الدولة فرض الخدمة الإلزامية في الجيش على المواطنين",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,-1
57,"يجب على الدولة أن تمتلك سلاح ردع نوعي يهدد الدول المحيطة، كالصواريخ البالستية والرؤوس الحربية فائقة التدمير",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,-1
58,"يجب على الدولة أن تدخل في معاهدات دفاع مشترك مع دول الجوار والاستفادة من هذه المعاهدات لضمان أمن الحدود",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,-0.5
59,"يجب على الدولة الاحتفاظ بالسلاح الكيميائيّ كسلاح ردع استراتيجيّ",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,-1
60,"يجب على الدولة الالتزام بمعاهدات قواعد الحرب مثل اتفاق جنيف عند القتال",mil_pac,عسكري توسّعي مقابل سلمي انعزالي,0.5
61,"يجب على الدولة أن تقرّ وتستخدم عقوبة الإعدام",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,-1
62,"يجب على الدولة معاقبة المخبرين والمتعاونين مع الأمن والجيش السابقين",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,-1
63,"يجب على الدولة معاقبة المجنّدين الإجباريين في الجيش السابق",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,-1
64,"يجب على الدولة مسامحة من ثبتت عليهم قضايا فساد تمت الجريمة فيها ضمن مؤسسات النظام السابق",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,1
65,"يجب على الدولة فصل كلّ الموظفين الذين ثبت توظيفهم بالواسطة دون نظر للكفاءة",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,-0.5
66,"يجب على الدولة الاستعانة بقضاة من الأمم المتحدة لتحقيق العدالة الانتقالية",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,0.5
67,"يجب على الدولة تجريم الاستهزاء برموز الثورة كالعلم والشهداء",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,-0.5
68,"يجب على الدولة تجريم تمجيد الأسد ورموز النظام السابق",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,-0.5
69,"يجب على الدولة حظر رفع العلم السوري الأحمر السابق واستخدامه كرمز",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,-0.5
70,"يجب على الدولة حظر المشاركة السياسية لكل الأعضاء العاملين في حزب البعث",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,-0.5
71,"يجب على الدولة توثيق أحداث الثورة في سردية رسمية يمنع الطعن بها",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,0.5
72,"يجب على قوانين تجريم الأسدية أن تكون ذات أثر رجعي، أي أن تشمل ما حدث قبل صدور القانون",ret_rec,عدالة انتقالية انتقامية مقابل تصالحية,-1
